Q12_OTHER_TEXT,Q13_OTHER_TEXT,Q14_OTHER_TEXT,Q14_Part_1_TEXT,Q14_Part_2_TEXT,Q14_Part_3_TEXT,Q14_Part_4_TEXT,Q14_Part_5_TEXT,Q16_OTHER_TEXT,Q17_OTHER_TEXT,Q18_OTHER_TEXT,Q19_OTHER_TEXT,Q20_OTHER_TEXT,Q21_OTHER_TEXT,Q24_OTHER_TEXT,Q25_OTHER_TEXT,Q26_OTHER_TEXT,Q27_OTHER_TEXT,Q28_OTHER_TEXT,Q29_OTHER_TEXT,Q2_OTHER_TEXT,Q30_OTHER_TEXT,Q31_OTHER_TEXT,Q32_OTHER_TEXT,Q33_OTHER_TEXT,Q34_OTHER_TEXT,Q5_OTHER_TEXT,Q9_OTHER_TEXT
,,,,,,RStudio server,,,,GRASS,,QGIS,,,,,,,,,NextCloud,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,Retiered,
,,,"'+ SQL Server, SSAS,SSIS",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"OCR, Reckognition",,,,,,,,,,,,,,,,,,,,
,,,Google sheets and excel play an important role for my academic and other works,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"RStudio, some JupyterNotebooks",,,,,,,,,,,,,"VMs on digitalocean, linode",,,,,,,COO,
,,,,,,Jupyterlab,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Power Bi, Tableau",,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Spyder, Rstudio, VSC",,,,,,,,,,,,,,,,,,,,,
,,,,,,"jupyter, pycharm, idea, tableau, airflow, mlflow",,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,aws,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wall Street Journal,,,,,,RStudio,,,,,,,,"Clustering: knn, k-means",,,,,,,,,,,,Technology Consultant,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,kaggle,,,,,,,,,,,,,,,,,,,,
,,,,,,"Rtsudio, Python",,,,,,,,,,,,,,,,,,,,,
,,,,,,Rstudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Excel, Sheets",,,,,Eclipse,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Anaconda,,,,C#,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,Excel powerbi,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter notebook and lab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,rstudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Artist,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS,,,,,,,,,,,,,,,,,,,VP Analytics & AI,
,,,,,,,AWS,,,,,,,,,,,,,,AWS EMR,,,,,,
,,,,,,Jupyter Notebooks,,,,,,,,,,,,,,,,,,,,,
,UPX Academy,,Microsoft excel,,,,,,,ABAP,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,AWS and GCP,,,,,,,,,,,,,,,,,,,,
,,, Excel,,,,,,,,,,,,,,,,,,,,,,,,
,Private Institution,,,,,"Rstudio, Jupyternotebook",,,,,,,,,,,,,,,,,,,,Research Analyst,
Habr,,,,,,Jupyter ,,,,,,,,,,,,,,,,,,,,,
,,,,Sas,,,,,,,,,,,,,,,,,,,,,,,
,YouTube and Applied AI,,,,Mostly tableau,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,v,,,,,,,,,,,,,,,,,,,,,
,,,,,,"R, RStudio, Python Libs",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Sql, rstudio, python",,,,,,Spotfire,,,,,,,,,,,,,,,
,,,,,,"PyCharm, RStudio, Jupyter, Colab",,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyeter notebooks ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyter,,,,,,,,,,,,,,,,,,,,,
,Codecademy,,"Apple Numbers, Google Sheets",,,,,,,C#,,,,,,,,,,,,,,,,,
,,,microsoft excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,We often use Google sheets,,,,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,SVM,,,,,,,,,,,,,
,,,,,,RStudio and Anaconda ,,,Github,PySpark,,,,,,,,,,,,,,,,,
,,,,,,RStudio and jupyterlab on server machines,,,,,,,,,,,,,,,,,,,,,
,,,,,,R,,,,,,,,,,,,,,,,,,,,,
,EliteDataScience,,Excel,,,,,,,,,,,,,,,,,,,,,,,drilling engineer,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,excel,,,,,,,,,,,,,,,,,,,,,,,,
,stepic.org,,,,,"Jupyter notebook\lab, Python + libs",,,,Elixir,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,Power Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter notebooks,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
EDX,,,TT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,Cubist,,,,,,,,,
Datascienceacademy.com.br,Datascienceacademy.com.br,,,Sas enterprise guide,,,,Sas program,,,,,,,,,,,,,,,,,,Financial analist,
,,,,,Sales Force,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,,,Scala,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,kNN,,,,R packages,,,,,,,,,
,,,,,,"Anaconda, Colab",,,,,,,,,,,,,,,,,,,,,
,,,,SPSS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"SQL, Python, Bash",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,R JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,"Python (pandas, plotting libraries...)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tableau,,,,,Scala,,,,,,,,,,,,,,,Cassandra ,,
,,,,,,Julyterlab,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Python, Jupyter notebook, spyder",,,,,,,,,,,,,,,,,,,,,
,,,,,,"scipy, pandas, matplotlib",,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,TIBCO BusinessWorks,,,,,,,,,,,,,,,,,,Solution Architect,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,own coding,,,,,,,,,,Microsoft Excel,,,,,,,,,,,,,,,
,PluralSight,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Pandas, matplotlib, tensor flow etc",,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Jupyter, Anaconda",,,,,,,,,,,,,,,,,,,,Security Analyst,
,,,,,,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,R,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,OBIEE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,python,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupiter notebook,,,,C#,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,matlab,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"RStudio, Spyder, JupyterLab",,,,Visual Basic,,,,,,,,,,,,,,,,,
Medium,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,Inhouse,,Inhouse,Inhouse,,,,,
Meetup Groups,,,,,,PyCharm,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SPSS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Network Engineer,
,,,,SPSS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,aws,,,,,,,,,,,,,,,,,,,,
,,,,,,python,,,,,,,,,,,,,,,,,,,,,
,,,Doesn't work on this much,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"R, Jupyter",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Jupyter,pycharm",,,,,,,,,,,,,,,Google ai platform,,,,,,
,,Gfff,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,python in jupyter notebook and kaggle notebooks,,,,,,,,,,,,,,,,,,,,,
https://machinelearningmastery.com/,,,,origin,,,,,,fortran,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ETL Developer,
,,,Google Sheets,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
https://towardsdatascience.com/,,Anaconda,,,,,,,,,,,,,,,,,,,,,,,,,
,,Na,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python ,,,,,,,,,,,,,,,,Cloudera Hadoop ecosystem ,,,,,
,,,Libra office,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,judyterlad,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"RStudio, JupyterLab",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Testing,
,,,,,,,.Net Developer,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,Nano,,,,,,,,,,,,,,,,,,,
,,manual computations,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GCP,,,,,,,,,,,,,,,,,,,,
,,weka,,,,,,,,,,,,,,,,,,,,,,,,,
,"Stanford Onlie, Chaltech ML",,,,,Anaconda,,,,,,,,,,,,"H2O, Sparkling Water",,,,,,,,,
,,,,,,"RStudio, Jupyter, Power BI",,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,Rstudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,Anaconda,,,,,,,,,,,,,,,,,,ML.NET Auto ML,,,
,,,,,,,AWS,,,,,,,,,,,,,,,,,,,,
,,,,,,ipython,,,linux,,,,,,,,,,,,,,,,,,
,Adult education,,,,,Jupyter,,,,AWK,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
Coursera,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"PyCharm, Jupyter Notebooks",,,,Ruby,,,,,,,,,,,,,,,,,
,,,,,,,"AWS, GCP & Azure",,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Python, C development",,UltraEdit,,,,,,,,,,,,,,,,,,,
,,,,,,Rstudio and Pycharm,,,,,,,,,,,,,,,,,,,,,
,,,ms excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,python,,,,,,,,,,,,,,,,,,,,,
,NYC Data Science Academy,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Python,R,Minitab",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,Perl,,,,,,,,,,,,,,,,Professor of Computer Science,
,,,,"Stata, R",,,,,,,,,,,,,,,,,,,,,,,
,,sklearn,,,,,,,,,,,,,,,,,,,,,,,,,
,,python,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,,,,,,,,,,,,,,,,,,,Student,
,,,,,,"Sublime text python , R",,,,,,,,,,,,,,,,,,,,,
,,,,,,"R, Python",,,,,,,,,,,,,,,,,,,,,
,,,,,,,GCP,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyterlab,,,,,,,,,,,,,,,,,,,,,
,,,,SAS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"RStudio, Colab, JupyterLab",,,,,,,,,,,,,,,,,,,,,
,,,,,,"Knime, Anaconda",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Watson Studio,,,,,,,,,,,,,,,IBM Cloud,IBM Cloud SQL Query,IBM Watson Studio,,Db2,,
,,,,,,Jupyter notebooks,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,"Books, research journals",,,,,"MATLAB, Python",,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
facebook groups,,none,,,,,,,,,,,,,,,,,,,,,,,,Produce clerk,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"RStudio, Jupyter",,,,,,,,,,,,,,,,,,,,,
,,,,,,,Python based app development using docker containers,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOOKS ! ,,,,,,rstudio,,,,,,basic graphics in R,,,,,,,,GREEN GUAVA TENSILE,,,,,,,
,,,,,,,Gcp and bigquery and data studio,,,,SQL,,,,,,,,,,,,,,,,
,,,,,,,yaaa,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Spark, databricks",,,Scala,,,,,,,,,,,,,,,,,
,,,,,,jupyter lab,,,,,,,,,,,,,,,,,,,,,
,,,,,,"R, python ",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
appliedaicourse.com,,,,,,jupyter notebbok,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python ,,,,,,,,,,,,,,,,,,,,,
,,"GIS, SQL, Oracle",,,,,,,,,,,,PL/SQL,,,,,,,,,,,,,
,,python,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,,,,,"We are visualizing the production,shrinkage,client reports using tableau dashboard",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"SAS, R",,,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter LAb python,,,,,,,,,,,,,,,,,,,,Data Innovation,
,,Python,,,,,,,spyder,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SPSS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupiter+anaconda python distrib,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,eQube BI,,,,,,,,,,,,,,,,,,,,,,
,,,,,,We use r studio for Data analysis,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Python, Pandas, Numpy, Jupyter",,,,,,,,,,,,,,,,,,,,,
,,,,,,Python ML pipelines,,,,,,,,,,,,,,,,,,,,,
,,,,,,"RStudio, Jupyter Notebooks",,,,,,,,,,,,,,,,,,,,Data Science Lab Manager,
,,,,,,R,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Earn money,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,Tableau,,,,,,,,,,,,,,,,,,,,,,
Google,,,,,,Vsc,,,,,,,,,,,,,,,,,,,,,
,,Python ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,Tableau,,,,,,,,,,,,,,,
,,,,,,python,,,,,,,,,,,,,,,,,,,,,
,,,,,Tableau ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,C#,,,,,,,,,,,,,,,,,
,,,,,,anaconda,,,,,,,,,,,,,,,,,,,,,
,,,,SAS,,,,,,SAS,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,IBM tools,,,,,,,,,,,,,,,,,,,,Teacher,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,,,Obiee,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebook and spyder,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,For primary analysis ,,,,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Adobe analytics, power bi ",,,,,,,,,,,,,,,,,,,,,,
,,,Google sheets,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Rstudio,anaconda",,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,with python,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Jupyter Notebook, Spyder",,,,SAS,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,"atom, jupyterlab",,,,,,,,,,,,,,,,,,,mongoDB,,
,stepik,jupyter notebook ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLabs ,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter notebooks + python + numpy/ pandas / mathplotlib,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Google Colab,,,,,,,"SVMs, AutoML",,,,,,,,,,,,,
,ods.ai mlcourse.open Safari,,,,,,Azure,,,,,,,,,,,,,,,,,,,,
,freecodecamp.com,,,,,Rstudio,,,,,,,,,,,,,,,,,,,,FEA Engineer,
,,,,,,JupyterLab ,,,,,,Highcharts,,,,,,,,,,,,,,,
,,,,,Tableau ,,,,,,,,,,,,,,,,,,,,,,
,,,,,,RStudio,,,,,,,,,,,,,,,,RStudio Connect,,,,,
,,,i use this to learn how a formula works,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tableau,,,,Textpad,,,,,,,,,,,,,,,,,,
,,,,,,Jupyterlab,,,,,,,,Collaborative Filtering,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Business development,
,,,,,,Jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python and JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,Anaconda Environment,,Google Colab,,,,,,,,,,,,,,,,,,,
,,matlab,,,,,,Xcode,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
LinkedIn,,,,SAS,,,,SAS,,SAS,,,,,,,,,,,,,,,,Data Consultant,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Naresh itech,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cognitiveclass.ai,,,,,Jupyter notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter Notebook,,,,,,,,,,,,,,,,,,,,,
,,,,,,"RStudio,  Spyder ",,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyter,,,,,,,,,,,,,,,,,,,,,
,,,Microsoft Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Most of my work will require me to create jupyter notebooks in python,,Editplus,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupiter lab,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Anaconda,,,,,,,,,,,,,,,,,,,,,
,,,Excel.,,,,,,,,I am an aspiring data scientist,,,,,,,,,,,,,,,Electronics Engineer ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"R, Python, Matlab",,,,,,,,,,,,,,,,,,,,,
,Code academy,,Mysql and php,,,,,,,,,,,,,,,,,,,,,,,,
,,Visual Studio Code,,,,,,,,C#,,,,,,,,,,,,,,,,Director,
,,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,,,,Python,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tableau,,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,After school counselor ,
,,,Excel charts are mostly used,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Python,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,qt5,,,,,OCR,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,business Intelligence Analyst,
,Platzi,,,,,"RStudio, JupyterLab",,,,,,,,,,,,,,,,,,,,,
,,,spss,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Rstudio and Notebook Jupyter,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,Hardware engineer,
,,,,,,"Rstuio, Jupyter Notebook",,,,,,,,,,,,,,,,,,,,,
,Stepik,MS SQL Server,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Python, Jupyter, R, RStudio",,,,,,,,,,,,,,,,,,,,,
,,,Only reporting,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Most simple,,,,,,,,,,,,,,,,,,,,,
StackOverflow,,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,Excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyterlab,,,,,,,,,,,,,,,,,,,,,
,,,,,,Pycharm,,,,,,,,,,,,,,,,,,,,,
,,,,As well as fNIRSoft,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,jupyter,,,,,,,,,,,,,,,,,,,,,
,,,,,Tableau,,,,,,,,,,,,,,,,,,,,,,
,,,,SAS   Python,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab and RStudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,Rstudio,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Data Science Academy,,,,,RStudio,,,,,,,,,,,,,,,,,,,,,
,,,excel,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,In-House developed software,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,,,,,,,,,,,,Digital Ocean,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Lecturer,
,,,,,,,"AWS, GCP",,,,,,,,,,,,,,,,,,,,
,,,,,,"SQL (Management Studio) + Python (Pycharm) and R (RStudio) as main, Excel as support/testing/prototype",,,,,,,,,,,,,,,,,,,,,Model methodology development
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tableau SF,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jupyter,,Vscode,,,,,,,,,,,,,,,,,,,
,,"Python, C",,,,,,Scite,,,,Veusz,,,,,,,,,,,,,,,Scientific research using ML methods
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,jaba,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,JupyterLab,,,,,,,,,,,,,,,,,,,,,
,,,,,,"RStudio, Jupyter notebooks",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
